periodo;sexo;comunitat_valenciana;prov_alicante;prov_castellon;prov_valencia;dpto_salud_vinaros;dpto_salud_castello;dpto_salud_laplana;dpto_salud_sagunt;dpto_salud_clinic_malvarrosa;dpto_salud_vilanova_lliria;dpto_salud_valencia_lafe;dpto_salud_requena;dpto_salud_valencia_hospital_general;dpto_salud_doctor_peset;dpto_salud_ribera;dpto_salud_gandia;dpto_salud_denia;dpto_salud_xativa_ontinyent;dpto_salud_alcoi;dpto_salud_marina_baixa;dpto_salud_sant_joan_alacant;dpto_salud_elda;dpto_salud_alacant_hospital_general;dpto_salud_elx_hospital_general;dpto_salud_orihuela;dpto_salud_torrevieja;dpto_salud_manises;dpto_salud_elx_crevillent
2010;Ambos sexos;82;83.1;82.2;81.3;82.4;82.8;81.9;82.4;82.1;81.3;82;80.2;81.7;82.3;81.1;81.4;82.3;80.9;82;83.6;83.5;82.2;82.1;84.1;81;86.1;81.5;80.3
2010;Hombres;79.2;80.6;79.4;78;79.2;79.9;79.2;79.7;78.5;78.2;78;78.4;78.3;79.4;78.1;78;79.6;77.7;79.4;80.8;80.2;79.2;78.4;81.2;78.4;84;78.3;78.2
2010;Mujeres;84.9;85.5;85;84.4;85.9;85.7;84.5;85.2;85.5;84.5;86;82.2;84.8;84.9;84;84.8;85.1;84.4;84.4;86.5;86.4;85.3;85.7;87;83.7;88.3;84.8;82.4
2011;Ambos sexos;82.3;83.3;82.1;81.6;82;83;81.4;82.2;82.9;82.1;82.7;81.3;81.8;82;80.8;81.6;83;81.7;82.5;83.7;83.3;82.6;81.5;83.4;80.7;87.7;81.8;82.1
2011;Hombres;79.4;80.8;79.2;78.5;79.1;80;78.3;79.4;79.6;79.1;79.4;79;78;78.7;77.9;78.2;80.3;79.1;79.6;81;80.4;80;78.4;80.3;78;85.2;79.1;79.8
2011;Mujeres;85.1;85.8;85.1;84.7;85.1;86.1;84.6;85.1;85.9;85.1;85.8;83.9;85.6;85.2;83.8;85;86;84.4;85.2;86.5;85.9;85.2;84.6;86.4;83.6;90.5;84.5;84.4
2012;Ambos sexos;82.3;83;82.6;81.8;82.3;82.9;82.4;81.7;82.6;81.3;82.7;82.7;82;83.4;80.6;81.5;81.5;81.3;81.3;81.7;82.6;81.6;82.1;82.8;82;83.4;81.2;81.1
2012;Hombres;79.5;80.5;79.7;78.8;78.7;79.7;79.6;78.5;79.1;79;79.4;81.1;79.2;79.8;77.3;78.4;78.9;78.8;78.2;78.7;79.5;79.1;78.7;79.6;78.8;80.7;78.5;78.2
2012;Mujeres;85.1;85.7;85.7;84.6;86.2;86.1;85.2;85;85.9;83.6;85.8;84.3;84.4;86.6;84.2;84.5;84.2;83.8;84.5;85;85.6;84.2;85.4;86;85.5;86.2;84;84.1
2013;Ambos sexos;83;83.9;82.8;82.5;82.8;82.8;82.8;82.3;83.4;82.2;83.1;83;82.3;84;81.8;82.1;82.7;82.6;82.5;83;82.5;83.2;83.3;83.2;82.4;84.5;82.6;82.2
